x,y
198,68
512,176
38,174
458,386
92,280
144,280
512,280
406,438
248,438
302,332
458,280
196,438
198,174
198,280
406,176
92,332
302,438
90,386
144,332
250,332
354,176
144,386
302,280
354,438
620,176
302,384
406,280
620,122
406,332
620,68
302,122
196,384
302,228
354,228
460,70
354,384
568,68
618,282
620,16
38,332
618,440
196,332
250,384
568,16
144,14
92,174
38,226
142,438
406,386
618,334
458,228
92,14
566,122
458,440
512,228
38,120
408,16
512,386
38,66
250,16
92,226
460,176
198,122
302,70
408,70
620,388
144,174
198,14
354,122
514,68
514,122
144,228
38,386
302,16
460,122
460,16
564,334
302,176
92,120
144,68
356,16
406,228
566,228
198,228
512,334
144,122
250,68
250,122
90,438
354,332
458,332
406,124
38,14
92,68
566,176
250,228
250,280
512,440
38,280
564,280
620,228
514,16
36,438
250,174
566,440
564,388
356,70
354,280
