x,y
38,14
92,14
144,14
198,14
250,16
302,16
356,16
408,16
514,16
568,16
620,16
38,66
92,68
144,68
198,68
250,68
354,68
460,70
302,70
408,70
514,68
566,68
620,68
92,120
302,122
354,122
406,124
250,122
460,122
514,122
566,122
620,122
38,120
198,122
144,122
250,174
144,174
92,174
198,174
512,176
354,176
406,176
460,176
566,176
38,174
92,226
144,228
198,228
250,228
354,228
406,228
458,228
620,228
92,280
144,280
198,280
250,280
302,280
406,280
458,280
512,280
564,280
618,282
38,280
144,332
196,332
250,332
302,332
354,332
406,332
458,332
38,332
618,334
512,334
564,334
90,386
144,386
302,384
354,384
196,384
458,386
38,386
406,386
512,386
250,384
564,388
620,388
36,438
90,438
142,438
196,438
248,438
302,438
354,438
406,438
458,440
512,440
566,440
618,440
